dof  u jacobi1     chebyshev1  ssor1       jacobi2     chebyshev2  ssor2       jacobi4     chebyshev4  ssor4       jacobi8     chebyshev8  ssor8
1    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
2    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
3    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
4    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
5    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
6    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
7    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
8    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
9    1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
10   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
11   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
12   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
13   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
14   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
15   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
16   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
17   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
18   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
19   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
20   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
21   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
22   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
23   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
24   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
25   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
26   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
27   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
28   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
29   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
30   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
31   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
32   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
33   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
34   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
35   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
36   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
37   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
38   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
39   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
40   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
41   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
42   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
43   1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
44 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
45 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
46 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
47 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
48 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
49 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
50 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
51 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
52 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
53 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
54 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
55 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
56 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
57 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
58 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
59 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
60 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
61 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
62 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
63 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
64 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
65 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
66 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
67 	 1 0.012345700 0.022087000 0.000000000 0.012345700 0.024306500 0.000000000 0.012345700 0.011387600 0.000000000 0.012345700 0.006660120 0.000000000
